Notes,Education,Education Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,8th grade or less,1,804552,Not Applicable,Not Applicable,Not Applicable
,9th through 12th grade with no diploma,2,920335,Not Applicable,Not Applicable,Not Applicable
,High school graduate or GED completed,3,4210815,Not Applicable,Not Applicable,Not Applicable
,"Some college credit, but not a degree.",4,1256642,Not Applicable,Not Applicable,Not Applicable
,"Associate degree (AA,AS)",5,671374,Not Applicable,Not Applicable,Not Applicable
,"Bachelor?s degree (BA, AB, BS)",6,1111537,Not Applicable,Not Applicable,Not Applicable
,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,477880,Not Applicable,Not Applicable,Not Applicable
,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,189252,Not Applicable,Not Applicable,Not Applicable
,Unknown or Not Stated,9,192665,Not Applicable,Not Applicable,Not Applicable
,Not Available,10,9077772,Not Applicable,Not Applicable,Not Applicable
Total,,,18912824,Not Applicable,Not Applicable,Not Applicable